Serial No,Song Name,Artist Name,Camelot,BPM,Duration,Popularity,energy,Danceability,Happiness,Accousticness,Instrumentalness,Liveness,Speechiness,Loudness,Category,Language
261,Vishnu Mool Mantra (Vishnu Theme),"Meditating Spirit, Bhanupratap Rawal",9B,80,1:57,30,1,26,8,97,95,20,4,-26,Vocal(Sanskrit),
262,Hare Krishna Mantra,"Meditating Spirit, Bhanupratap Rawal",10B,135,3:00,30,13,41,11,92,0,11,4,-19,Vocal(Sanskrit),
263,Mahadeva Manohara,Samhita,12B,90,6:03,20,28,50,17,74,0,9,3,-12,Vocal(Sanskrit),
264,Madhava mamava deva,"Kavya Ajit, Kamala Subramaniam",2B,134,4:01,44,37,38,12,64,0,11,3,-7,Vocal(Sanskrit),
265,Shree Hari Stotram,"G. Gayathri Devi, Saindhavi, PRIYA, R. Shruti",7A,128,4:39,61,45,81,63,20,0,13,6,-10,Vocal(Sanskrit),
266,Vishnu Strotam,Shonali Mishra ,6A,132,4:22,0,48,67,55,51,0,69,4,-12,Vocal(Sanskrit),
267,Mantra Pushpam,Seven,9B,92,4:22,36,42,51,54,80,0,12,6,-9,Vocal(Sanskrit),
268,Medha Suktam,Swami Purnachaitanya,7B,125,4:32,29,6,44,12,80,0,11,4,-19,Vocal(Sanskrit),
269,Bhagyada Lakshmi Baramma,Uthara Unnikrishnan,11A,155,5:55,33,65,53,66,83,0,9,5,-6,Vocal(Kannada),
270,Nagumomu Galavani,"Tyagaraja, Mano",6A,125,4:02,20,86,57,89,91,0,17,5,-4,Vocal(Telugu),
271,Harivarasanam,"Ranjin Raj, Prakash Puthur, Konnakathu Janaki Amma",7A,105,5:46,41,34,54,68,91,0,10,4,-10,Vocal(Malayalam),
272,Neelaravil,"K. J. Yesudas, Minmini",10B,167,5:25,45,39,36,52,71,0,19,5,-9,Vocal(Malayalam),
273,Veera Raja Veera,"Composition Based on a Dagarvani Tradition Dhrupad, Shankar Mahadevan, K. S. Chithra, Harini",12A,136,5:21,55,67,60,48,66,0,10,6,-8,Vocal(Sanskrit),
274,Harivarasanam,"Kavya Ajit, Kamala Subramaniam",8B,117,5:02,34,48,73,55,69,0,6,4,-9,Vocal(Malayalam),
275,Vishwanathashtakam,Seven,2B,108,4:52,24,23,70,25,94,0,39,4,-12,Vocal(Sanskrit),
276,Kanne Thaai Malare,"Shaan Rahman, Vineeth Sreenivasan",11B,129,3:17,33,18,23,13,67,15,13,3,-13,Vocal( Malayalam),
277,Katrinile Varum Geetham,K. J. Yesudas,12B,167,5:42,22,21,63,70,80,0,21,6,-16,Vocal(Tamil),
278,Radha Ramanam Hare Hare,Indresh Upadhyay,8B,130,14:44,58,46,60,37,77,0,12,3,-10,Vocal(Sanskrit),
279,Shree Venkatesha Mangalashasanam,"G. Gayathri Devi, Saindhavi, PRIYA, R. Shruti",11A,93,6:57,42,57,39,37,40,0,10,8,-11,Vocal(Sanskrit),
280,Govardhana giridhara,"Kavya Ajit, Kamala Subramaniam",4A,145,3:44,34,55,47,38,83,0,49,11,-7,Vocal(Sanskrit),
281,Chandra Chooda - Keerthanam,"Purandara Daasaru, Anoop Sankar",7A,90,5:42,30,68,61,59,7,0,9,8,-8,Vocal(Kannada),
282,Alai Payuthey,"Kalyani Menon, Harini, Neyveli Ramalakshmi",11A,82,3:42,35,54,59,46,54,0,16,10,-12,Vocal(Tamil),
283,Harivarasanam,Kalabhavan Mani,11B,129,5:34,28,58,70,71,45,0,12,3,-7,Vocal(Malayalam),
284,Ganesha Panchratnam,"G. Gayathri Devi, Saindhavi, PRIYA, R. Shruti",6B,95,9:00,44,58,46,51,60,0,12,9,-9,Vocal(Sanskrit),
285,Phir Chhidi Raat,Bazm-E-Khas,4A,162,9:57,23,31,29,46,90,6,10,3,-12,Vocal(Urdu),
286,Bihag,The Anirudh Varma Collective,11B,144,5:54,31,52,45,21,58,0,10,3,-9,Vocal(Hindi),
287,Dil-E-Nadaan,Kavita Seth,9B,92,6:22,38,53,37,47,57,0,28,4,-8,Vocal(Urdu),
288,Ae Re Sakhi,Namita Choudhary,10B,146,3:42,47,30,59,29,91,0,9,5,-11,Vocal(Hindi),
289,Ek Nazar,Kavita Seth,8B,100,7:25,30,51,61,39,2,0,10,3,-8,Vocal(Hindi),
290,Mora Saiyyan,Shafqat Amanat Ali,12B,81,1:56,40,30,31,44,88,0,12,3,-9,Vocal(Hindi),
291,Lat Ulajhi,Anjali Gaikwad,6B,140,3:50,20,67,63,25,46,2,14,3,-7,Vocal(Hindi),
292,Naina More,Sniti Mishra,3A,124,4:58,21,49,68,17,34,2,13,3,-11,Vocal(Hindi),
293,Ithlati,Javed Ali,4A,135,6:27,28,70,70,52,79,0,18,9,-7,Vocal(Urdu),
294,Ka Karoon Sajani,Ajoy Chakrabarty,6A,128,7:56,28,32,38,39,76,0,21,4,-16,Vocal(Hindi),
295,Naina More Taras Rahe,Bade Ghulam Ali Khan,6B,79,3:21,11,24,44,73,99,75,12,5,-20,Vocal(Hindi),
296,Boondan Boondan (feat. Ankita Joshi),Maati Baani,12B,118,4:33,35,78,65,55,52,0,8,5,-7,Vocal(Hindi),
297,Sindoori,Maati Baani,10B,144,4:33,29,59,58,34,65,1,29,5,-10,Vocal(Hindi),
298,Jogi,Swastik The Band,7A,80,6:17,44,65,55,35,28,0,7,6,-6,Vocal(Hindi),
299,Baras,Shadow and Light,7A,184,4:58,22,53,47,38,76,9,9,3,-11,Vocal(Telugu),
300,Baawariya (feat. Shankar Tucker),Maati Baani,8A,90,2:56,41,46,61,44,79,14,7,3,-9,Vocal(Hindi),
301,Tilak Kamod,The Anirudh Varma Collective,2B,140,7:36,30,57,50,25,71,0,19,3,-9,Vocal(Hindi),
302,Saathi Suno,Srabasti Acharya,2B,198,2:16,15,44,37,71,41,0,21,17,-11,Vocal(Hindi),
303,Baju Band,Sniti Mishra,4A,150,4:18,25,51,47,41,68,1,25,3,-6,Vocal(Hindi),
304,Naina Morey - Redefined,Umashankar Kathak,8B,76,3:23,27,54,26,50,43,0,6,8,-11,Vocal(Hindi),
305,Krishna Murari,Hrishikesh Datar,4A,136,3:45,25,49,41,35,38,0,12,5,-8,Vocal(Hindi),
306,Mohan Bin Radha,Priyani Vani Panditt,8B,95,3:20,23,62,54,19,71,0,13,4,,Vocal(Hindi),
307,Saawan Ki Ruth,Pragya Dasgupta,11B,124,3:47,18,36,37,33,80,0,11,5,-11,Vocal(Hindi),
308,Sab Ruk Sa Gaya,Trishita Recs,7A,80,3:24,17,35,49,13,91,0,15,3,-12,Vocal(Hindi),
309,Kaahe Ko Sataaye,Aabhas Joshi,4B,77,3:52,18,10,45,38,90,0,39,4,-17,Vocal(Hindi),
310,Rang Na,Pratibha Baghel,10B,118,4:14,21,45,68,29,80,0,11,3,-9,Vocal(Hindi),
311,Aeri Sakhi (An Eternal Poem of Love),Ronkini Gupta,8B,120,3:09,24,44,58,27,92,0,16,5,-11,Vocal(Hindi),
312,Runak Jhunak,Kanika,8B,131,3:11,29,50,47,37,38,0,12,5,-7,Vocal(Hindi),
313,Yaad Piya Ki Aaye,Ankita Joshi,10B,122,4:30,19,49,56,21,22,0,11,3,-10,Vocal(Hindi),
314,Rang Rasiya - Film Version,Shilpa Rao,6A,128,8:55,27,74,48,35,48,0,12,4,-5,Vocal(Hindi),
315,Voh Tere Mere Ishq Ka,Sunidhi Chauhan,9B,92,5:13,46,59,45,57,76,0,19,4,-7,Vocal(Hindi),
